base_pwsid,system_name,resolved_pwsid,assignment_status
MI0000347,BAIR LAKE BIBLE CAMP (DS005),MI0000347-p,assigned_new
MI0000350,"BALDWIN, VILLAGE OF",MI0000350,reused_existing
MI0000355,BALDWIN TOWNSHIP,MI0000355,reused_existing
MI0000370,"BANCROFT, VILLAGE OF",MI0000370,reused_existing
MI0000380,BANGOR,MI0000380,reused_existing
MI0000390,BANGOR TOWNSHIP,MI0000390,reused_existing
MI0000400,BANGOR-MONITOR METRO DISTRICT,MI0000400,reused_existing
MI0000410,BARAGA,MI0000410,reused_existing
MI0000418,BARN SWALLOW APARTMENTS,MI0000418,reused_existing
MI0000420,BARODA,MI0000420,reused_existing
MI0000426,BARRY TOWNSHIP,MI0000426,reused_existing
MI0000430,BARTON HILLS,MI0000430,reused_existing
MI0000440,BATES TOWNSHIP,MI0000440,reused_existing
MI0000450,BATTLE CREEK - VERONA SYSTEM,MI0000450,reused_existing
MI0000470,"BAY CITY, CITY OF",MI0000470,reused_existing
MI0000485,BAY CO. DEPT OF WATER & SEWER,MI0000485,reused_existing
MI0000487,BAY HARBOR CLUB,MI0000487,reused_existing
MI0000490,BAY VIEW ASSOCIATION,MI0000490,reused_existing
MI0000501,BEACH HOUSE APARTMENTS,MI0000501,reused_existing
MI0000503,BEACON HOME AT COLBY,MI0000503,reused_existing
MI0000505,BEAR CREEK ESTATES CONDOMINIUM,MI0000505,reused_existing
MI0000508,BEAR CREEK VILLA,MI0000508,reused_existing
MI0000510,"BEAR LAKE, VILLAGE OF",MI0000510,reused_existing
MI0000513,BEAVER CREEK-GRAYLING TOWNSHIPS UA,MI0000513,reused_existing
MI0000514,BEAVER CREEK RESORT,MI0000514,reused_existing
MI0000517,BEAVER ROAD AREA WATER ASSOC.,MI0000517,reused_existing
MI0000518,BEAVER TOWNSHIP,MI0000518,reused_existing
MI0000520,BEAVERTON,MI0000520,reused_existing
MI0000540,BEECHER METROPOLITAN DISTRICT,MI0000540,reused_existing
MI0000550,IRON RIVER TOWNSHIP-BEECHWOOD,MI0000550,reused_existing
MI0000560,BELDING,MI0000560,reused_existing
MI0000570,"BELLAIRE, VILLAGE OF",MI0000570,reused_existing
MI0000575,WHISPERING PINES SENIOR LIVING,MI0000575,reused_existing
MI0000580,BELLEVILLE,MI0000580,reused_existing
MI0000590,"BELLEVUE, VILLAGE OF",MI0000590,reused_existing
MI0000600,BENTON HARBOR,MI0000600,reused_existing
MI0000605,BENTON CHARTER TOWNSHIP,MI0000605,reused_existing
MI0000610,BENZONIA VILLAGE OF,MI0000610,reused_existing
MI0000620,BERGLAND TOWNSHIP,MI0000620,reused_existing
MI0000630,BERKLEY,MI0000630,reused_existing
MI0000635,BERLIN TOWNSHIP,MI0000635,reused_existing
MI0000650,BERRIEN SPRINGS,MI0000650,reused_existing
MI0000660,BESSEMER,MI0000660,reused_existing
MI0000680,"BEULAH, VILLAGE OF",MI0000680,reused_existing
MI0000690,BEVERLY HILLS,MI0000690,reused_existing
MI0000700,POWELL TOWNSHIP,MI0000700,reused_existing
MI0000705,BIG CREEK/MENTOR UTILITY AUTHORITY,MI0000705,reused_existing
MI0000710,BIG RAPIDS,MI0000710,reused_existing
MI0000715,BINGHAM FARMS,MI0000715,reused_existing
MI0000716,BINGHAM TOWNSHIP,MI0000716,reused_existing
MI0000720,"BIRCH RUN, VILLAGE OF",MI0000720,reused_existing
MI0000722,BIRCH RUN TOWNSHIP,MI0000722,reused_existing
MI0000725,BIRCHWOOD FARMS,MI0000725,reused_existing
MI0000730,BIRMINGHAM,MI0000730,reused_existing
MI0000733,BLACK BEAR FARMS,MI0000733,reused_existing
MI0000740,BLACKMAN TOWNSHIP,MI0000740,reused_existing
MI0000743,BLAIR TOWNSHIP,MI0000743,reused_existing
MI0000750,BLISSFIELD,MI0000750,reused_existing
MI0000775,BLOOMFIELD HILLS,MI0000775,reused_existing
MI0000790,BLOOMFIELD TOWNSHIP,MI0000790,reused_existing
MI0000794,BLUE SPRUCE APARTMENTS,MI0000794,reused_existing
MI0000795,"BLUE WATER VILLAGE WELL SITE, LLC",MI0000795,reused_existing
MI0000796,GENERAL WHITE APARTMENTS,MI0000796,reused_existing
MI0000798,BLUMFIELD-REESE WATER AUTH.,MI0000798,reused_existing
MI0000799,BOYNAIRE LANDOWNERS ASSOCIATION,MI0000799,reused_existing
MI0000800,"BOYNE CITY, CITY OF",MI0000800,reused_existing
MI0000810,"BOYNE FALLS, VILLAGE OF",MI0000810,reused_existing
MI0000813,HIGHLANDS AT HARBOR SPRINGS,MI0000813-b,reused_existing
MI0000815,BOYNE MOUNTAIN RESORT,MI0000815,reused_existing
MI0000820,"BRECKENRIDGE, VILLAGE OF",MI0000820,reused_existing
MI0000838,RIDGE VALLEY OF MILFORD,MI0000838,reused_existing
MI0000840,BRIDGEPORT TOWNSHIP,MI0000840,reused_existing
MI0000850,BRIDGMAN,MI0000850,reused_existing
MI0000860,"BRIGHTON, CITY OF",MI0000860,reused_existing
MI0000877,BRILEY TOWNSHIP,MI0000877,reused_existing
MI0000880,SUPERIOR TOWNSHIP,MI0000880,reused_existing
MI0000890,BRITTON,MI0000890,reused_existing
MI0000894,BROOK OF HOUGHTON LAKE,MI0000894,reused_existing
MI0000910,BRONSON,MI0000910,reused_existing
MI0000920,BROOKLYN,MI0000920,reused_existing
MI0000930,BROWN CITY,MI0000930,reused_existing
MI0000940,BROWNSTOWN TOWNSHIP,MI0000940,reused_existing
MI0000951,BRUCE TOWNSHIP,MI0000951,reused_existing
MI0000960,BUCHANAN,MI0000960,reused_existing
MI0000970,"BUCKLEY, VILLAGE OF",MI0000970,reused_existing
MI0000980,BUENA VISTA TOWNSHIP,MI0000980,reused_existing
MI0001000,BURR OAK,MI0001000,reused_existing
MI0001002,OAK POINTE,MI0001002,reused_existing
MI0001005,BURT VIEW ASSOCIATION,MI0001005,reused_existing
MI0001008,BURTCHVILLE TOWNSHIP,MI0001008,reused_existing
MI0001010,"BURTON, CITY OF",MI0001010,reused_existing
MI0001015,BUTTERCUP SHORES,MI0001015,reused_existing
MI0001018,BUTTERFIELD WOODS SUBDIVISION,MI0001018,reused_existing
MI0001019,BYRAM RIDGE,MI0001019,reused_existing
MI0001020,"BYRON, VILLAGE OF",MI0001020,reused_existing
MI0001023,BYRON-GAINES UTILITY AUTHORITY,MI0001023,reused_existing
MI0001030,"CADILLAC, CITY OF",MI0001030,reused_existing
MI0001037,CALEDONIA ESTATES,MI0001037,reused_existing
MI0001039,CALEDONIA TOWNSHIP,MI0001039,reused_existing
MI0001040,CALUMET,MI0001040,reused_existing
MI0001046,CALUMET TOWNSHIP,MI0001046,reused_existing
MI0001050,CAMDEN,MI0001050,reused_existing
MI0001052,CAMP ARCADIA / LCA,MI0001052,reused_existing
MI0001067,CROSSROADS FOR YOUTH,MI0001067,reused_existing
MI0001100,CANTON TOWNSHIP,MI0001100,reused_existing
MI0001110,"CAPAC, VILLAGE OF",MI0001110,reused_existing
MI0001125,CARNEY-NADEAU WATER & SEWER AUTHORITY,MI0001125,reused_existing
MI0001130,"CARO, CITY OF",MI0001130,reused_existing
MI0001160,CARROLLTON TOWNSHIP,MI0001160,reused_existing
MI0001170,CARSON CITY,MI0001170,reused_existing
MI0001180,"CARSONVILLE, VILLAGE OF",MI0001180,reused_existing
MI0001190,"CASEVILLE, CITY OF",MI0001190,reused_existing
MI0001195,CASEVILLE TOWNSHIP,MI0001195,reused_existing
MI0001210,CASPIAN,MI0001210,reused_existing
MI0001220,"CASS CITY, VILLAGE OF",MI0001220,reused_existing
MI0001230,CASS LAKESIDE SUBDIVISION,MI0001230,reused_existing
MI0001250,CASSOPOLIS,MI0001250,reused_existing
MI0001252,CEDAR CREEK WATER COMPANY,MI0001252,reused_existing
MI0001253,CEDAR HILL ASSISTED LIVING,MI0001253,reused_existing
MI0001256,CECIL FARMS,MI0001256,reused_existing
MI0001258,CEDAR CREEK TOWNSHIP,MI0001258,reused_existing
MI0001260,CEDAR SPRINGS,MI0001260,reused_existing
MI0001290,"CENTER LINE, CITY OF",MI0001290,reused_existing
MI0001300,"CENTRAL LAKE, VILLAGE OF",MI0001300,reused_existing
MI0001310,CENTREVILLE,MI0001310,reused_existing
MI0001325,CHALET DU PAW PAW CONDOMINIUMS,MI0001325,reused_existing
MI0001327,CHARLESTON TOWNSHIP,MI0001327,reused_existing
MI0001330,CHARLEVOIX,MI0001330-a,reused_existing
MI0001335,CHARLEVOIX TOWNSHIP (DS001),MI0001335-d,assigned_new
MI0001335,CHARLEVOIX TOWNSHIP (DS002),MI0001335-e,assigned_new
MI0001340,"CHARLOTTE, CITY OF",MI0001340,reused_existing
MI0001350,CHASSELL TOWNSHIP,MI0001350,reused_existing
MI0001352,ADVENTURE ACRES,MI0001352-a,reused_existing
MI0001353,CHATEAUX DU LAC CONDOMINIUMS,MI0001353,reused_existing
MI0001355,CHATHAM,MI0001355,reused_existing
MI0001360,"CHEBOYGAN, CITY OF",MI0001360,reused_existing
MI0001370,CHELSEA,MI0001370,reused_existing
MI0001371,CHERRY CREEK VILLAGE,MI0001371,reused_existing
MI0001380,"CHESANING, VILLAGE OF",MI0001380,reused_existing
MI0001390,CHESTERFIELD TOWNSHIP,MI0001390,reused_existing
MI0001397,CHESTNUT HILLS,MI0001397,reused_existing
MI0001400,CHIKAMING TOWNSHIP,MI0001400,reused_existing
MI0001416,CHOCOLAY BUNGALOWS,MI0001416-a,reused_existing
MI0001420,"CLARE, CITY OF",MI0001420,reused_existing
MI0001440,CLAWSON,MI0001440,reused_existing
MI0001450,CLAY TOWNSHIP,MI0001450,reused_existing
MI0001460,"CLIFFORD, VILLAGE OF",MI0001460,reused_existing
MI0001465,CLIMAX,MI0001465,reused_existing
MI0001470,CLINTON,MI0001470,reused_existing
MI0001480,CLINTON TOWNSHIP,MI0001480,reused_existing
MI0001490,"CLIO, CITY OF",MI0001490,reused_existing
MI0001493,CLYDE TOWNSHIP,MI0001493,reused_existing
MI0001500,COLDWATER,MI0001500,reused_existing
MI0001520,"COLEMAN, CITY OF",MI0001520,reused_existing
MI0001530,COLOMA,MI0001530,reused_existing
MI0001535,COLOMA CHARTER TOWNSHIP,MI0001535-a,assigned_new
MI0001540,COLON,MI0001540,reused_existing
MI0001543,GREEN OAK TWP - CENTENNIAL FARMS,MI0001543,reused_existing
MI0001545,MAIN STREET APARTMENTS,MI0001545,reused_existing
MI0001552,COLONY BAY CONDOMINIUMS,MI0001552,reused_existing
MI0001565,COLUMBIA LAKES ESTATES,MI0001565,reused_existing
MI0001570,"COLUMBIAVILLE, VILLAGE OF",MI0001570,reused_existing
MI0001572,COLOMBIERE CENTER,MI0001572,reused_existing
MI0001573,COMMERCE TOWNSHIP,MI0001573,reused_existing
MI0001580,CONCORD,MI0001580,reused_existing
MI0001600,CONSTANTINE,MI0001600,reused_existing
MI0001610,COOPERSVILLE,MI0001610,reused_existing
MI0001620,COPPER CITY,MI0001620,reused_existing
MI0001630,GRANT TOWNSHIP - COPPER HARBOR,MI0001630,reused_existing
MI0001631,COPPER MEADOWS,MI0001631,reused_existing
MI0001640,"CORUNNA, CITY OF",MI0001640,reused_existing
MI0001643,COTTAGE COVE ON ELK LAKE,MI0001643,reused_existing
MI0001648,COUNTRY LIVING ADULT FOSTER CARE,MI0001648,reused_existing
MI0001649,COUNTRY PLACE SENIOR CARE CENTER,MI0001649,reused_existing
MI0001650,COTTRELLVILLE TOWNSHIP (DS001),MI0001650-f,assigned_new
MI0001650,COTTRELLVILLE TOWNSHIP (DS002),MI0001650-g,assigned_new
MI0001652,COUNTRY VILLAGE APARTMENTS,MI0001652,reused_existing
MI0001653,COUNTRY LOG APTS,MI0001653,reused_existing
MI0001655,COUNTRY ACRES HOMEOWNERS ASSOCIATION,MI0001655,reused_existing
MI0001657,COUNTRY VIEW MANOR CONDOS,MI0001657,reused_existing
MI0001658,WILLOWS ON TWIN PONDS,MI0001658,reused_existing
MI0001661,COVERT TOWNSHIP,MI0001661,reused_existing
MI0001663,LANDINGS AT CRANES COVE,MI0001663,reused_existing
MI0001664,CROCKERY TOWNSHIP,MI0001664,reused_existing
MI0001666,CROOKED RIVER APARTMENTS,MI0001666,reused_existing
MI0001669,LAKESIDE APARTMENTS,MI0001669,reused_existing
MI0001690,"CROSWELL, CITY OF",MI0001690,reused_existing
MI0001692,MACK. CO. HOUSING-CURTIS,MI0001692,reused_existing
MI0001694,CRYSTAL RIDGE CONDOMINIUM ASSOCIATION,MI0001694,reused_existing
MI0001700,CRYSTAL FALLS,MI0001700,reused_existing
MI0001715,CRYSTAL HIGHLANDS SUBDIVISION,MI0001715,reused_existing
MI0001716,CRYSTAL MOUNTAIN RESORT & SPA,MI0001716,reused_existing
MI0001718,"DANSVILLE, VILLAGE OF",MI0001718,reused_existing
MI0001720,"DAVISON, CITY OF",MI0001720,reused_existing
MI0001730,DEARBORN,MI0001730,reused_existing
MI0001740,DEARBORN HEIGHTS,MI0001740,reused_existing
MI0001750,DECATUR,MI0001750,reused_existing
MI0001760,"DECKERVILLE, VILLAGE OF",MI0001760,reused_existing
MI0001765,DEEPWATER POINTE MASTER ASSOCIATION,MI0001765-a,assigned_new
MI0001768,DEERFIELD VILLA,MI0001768,reused_existing
MI0001770,DEERFIELD,MI0001770,reused_existing
MI0001773,DEERWOOD SUBDIVISION,MI0001773,reused_existing
MI0001774,DEER PARK CONDOMINIUMS,MI0001774,reused_existing
MI0001790,CHARTER TOWNSHIP OF DELTA,MI0001790,reused_existing
MI0001795,DETOUR,MI0001795,reused_existing
MI0001798,DETROIT METROPOLITAN WAYNE CO. AIRPORT,MI0001798,reused_existing
MI0001800,DETROIT CITY OF,MI0001800,reused_existing
MI0001810,DEXTER,MI0001810,reused_existing
MI0001820,ELY TOWNSHIP-DIORITE,MI0001820,reused_existing
MI0001840,OSCEOLA TOWNSHIP (DS001),MI0001840-f,assigned_new
MI0001840,OSCEOLA TOWNSHIP (DS002),MI0001840-g,assigned_new
MI0001845,DORR-LEIGHTON,MI0001845,reused_existing
MI0001860,DOWAGIAC,MI0001860,reused_existing
MI0001865,DRUMMOND ISLAND APARTMENTS,MI0001865,reused_existing
MI0001870,"DRYDEN, VILLAGE OF",MI0001870,reused_existing
MI0001880,DUNDEE,MI0001880,reused_existing
MI0001900,"DURAND, CITY OF",MI0001900,reused_existing
MI0001905,DUNRENTIN HEIGHTS SUBDIVISION,MI0001905,reused_existing
MI0001910,AUTUMN HILLS,MI0001910,reused_existing
MI0001915,DUVERNAY PARK APARTMENTS,MI0001915,reused_existing
MI0001920,EAGLE HARBOR TOWNSHIP,MI0001920,reused_existing
MI0001925,EAGLE LAKE CONDOMINIUMS,MI0001925,reused_existing
MI0001930,HOUGHTON TOWNSHIP,MI0001930,reused_existing
MI0001932,"EAGLE VILLAGE, INC.",MI0001932,reused_existing
MI0001935,EAST BAY CHARTER TOWNSHIP,MI0001935,reused_existing
MI0001950,"EASTPOINTE, CITY OF",MI0001950,reused_existing
MI0001960,EAST GRAND RAPIDS,MI0001960,reused_existing
MI0001970,"EAST JORDAN, CITY OF (DS001)",MI0001970-e,assigned_new
MI0001970,"EAST JORDAN, CITY OF (DS002)",MI0001970-f,assigned_new
MI0001980,BREITUNG TWP.-EAST KINGSFORD,MI0001980,reused_existing
MI0001990,"EAST LANSING, CITY OF",MI0001990,reused_existing
MI0002000,"PINE KNOLL APARTMENTS, LLC (DS002)",MI0002000-e,assigned_new
MI0002000,"PINE KNOLL APARTMENTS, LLC (DS001)",MI0002000-f,assigned_new
MI0002010,"EAST TAWAS, CITY OF",MI0002010,reused_existing
MI0002020,"EATON RAPIDS, CITY OF",MI0002020,reused_existing
MI0002025,EATON GREEN ESTATES SUBDIVISION,MI0002025,reused_existing
MI0002030,EAU CLAIRE,MI0002030,reused_existing
MI0002050,ECORSE,MI0002050,reused_existing
MI0002055,EDGE 72,MI0002055,reused_existing
MI0002070,EDMORE,MI0002070,reused_existing
MI0002077,EDWARDSBURG,MI0002077,reused_existing
MI0002079,EL RANCHO ALANSON,MI0002079,reused_existing
MI0002080,"ELBERTA, VILLAGE OF",MI0002080,reused_existing
MI0002090,"ELK RAPIDS, VILLAGE OF",MI0002090,reused_existing
MI0002100,"ELKTON, VILLAGE OF",MI0002100,reused_existing
MI0002110,"ELLSWORTH, VILLAGE OF",MI0002110,reused_existing
MI0002115,ELMWOOD TOWNSHIP,MI0002115,reused_existing
MI0002120,"ELSIE, VILLAGE OF",MI0002120,reused_existing
MI0002124,EMERY PINES,MI0002124,reused_existing
MI0002125,EMMETT TOWNSHIP,MI0002125,reused_existing
MI0002130,"EMPIRE, VILLAGE OF",MI0002130,reused_existing
MI0002145,MACK. CO. HOUSING-ENGADINE,MI0002145,reused_existing
MI0002170,ESCANABA,MI0002170,reused_existing
MI0002180,"ESSEXVILLE, CITY OF",MI0002180,reused_existing
MI0002190,"EVART, CITY OF",MI0002190,reused_existing
MI0002195,LANTERN BAY TREATMENT CENTER,MI0002195,reused_existing
MI0002200,MCMILLAN TOWNSHIP,MI0002200,reused_existing
MI0002212,FAIRFIELD TOWNSHIP,MI0002212,reused_existing
MI0002215,FAIRWAY LAKE CONDOMINIUMS,MI0002215,reused_existing
MI0002230,"FARMINGTON, CITY OF",MI0002230,reused_existing
MI0002240,"FARMINGTON HILLS, CITY OF",MI0002240,reused_existing
MI0002250,"FARWELL, VILLAGE OF",MI0002250,reused_existing
MI0002260,FENNVILLE,MI0002260,reused_existing
MI0002270,"FENTON, CITY OF",MI0002270,reused_existing
MI0002273,FENTON HARBOR CONDOMINIUMS,MI0002273,reused_existing
MI0002274,CREEKSIDE AT FENTON HEIGHTS,MI0002274,reused_existing
MI0002277,LAKE PARK VILLAGE CONDOMINIUMS,MI0002277,reused_existing
MI0002280,FERNDALE,MI0002280,reused_existing
MI0002285,FERRYSBURG,MI0002285,reused_existing
MI0002287,FIFE LAKE TOWNHOUSES,MI0002287,reused_existing
MI0002290,FILER CHARTER TOWNSHIP,MI0002290,reused_existing
MI0002291,FILLMORE TOWNSHIP,MI0002291,reused_existing
MI0002292,EASTERN MI DISTRICT CHURCH OF NAZARENE,MI0002292-a,assigned_new
MI0002300,FLAT ROCK,MI0002300,reused_existing
MI0002310,"FLINT, CITY OF",MI0002310,reused_existing
MI0002340,"FLUSHING, CITY OF",MI0002340,reused_existing
MI0002347,FONDA LAKE WATER AUTHORITY,MI0002347,reused_existing
MI0002350,FORD RIVER TOWNSHIP,MI0002350,reused_existing
MI0002356,FORESTER TOWNSHIP,MI0002356,reused_existing
MI0002360,FORESTVILLE VILLAGE OF,MI0002360,reused_existing
MI0002370,FORSYTH TOWNSHIP,MI0002370,reused_existing
MI0002385,FORT GRATIOT TOWNSHIP,MI0002385,reused_existing
MI0002390,"FOWLER, VILLAGE OF",MI0002390,reused_existing
MI0002400,"FOWLERVILLE, VILLAGE OF",MI0002400,reused_existing
MI0002403,FOXFIELD APARTMENTS,MI0002403,reused_existing
MI0002410,FRANKENLUST TOWNSHIP,MI0002410,reused_existing
MI0002420,"FRANKENMUTH, CITY OF",MI0002420,reused_existing
MI0002425,FRANKENMUTH TOWNSHIP,MI0002425,reused_existing
MI0002430,"FRANKFORT, CITY OF",MI0002430,reused_existing
MI0002440,FRANKLIN KNOLLS SUBDIVISION,MI0002440,reused_existing
MI0002450,BRIARCLIFF HOMEOWNERS ASSN,MI0002450,reused_existing
MI0002460,"FRASER, CITY OF",MI0002460,reused_existing
MI0002465,FRASER TOWNSHIP,MI0002465,reused_existing
MI0002470,TITTABAWASSEE TOWNSHIP,MI0002470,reused_existing
MI0002480,FREEPORT,MI0002480,reused_existing
MI0002490,FREMONT,MI0002490,reused_existing
MI0002500,FRENCHTOWN TOWNSHIP,MI0002500,reused_existing
MI0002507,FRUITPORT TOWNSHIP,MI0002507,reused_existing
MI0002510,GAASTRA,MI0002510,reused_existing
MI0002520,"GAGETOWN, VILLAGE OF",MI0002520,reused_existing
MI0002530,GALESBURG,MI0002530,reused_existing
MI0002540,GARDEN,MI0002540,reused_existing
MI0002550,GARDEN CITY,MI0002550,reused_existing
MI0002565,GARFIELD CHARTER TOWNSHIP,MI0002565,reused_existing
MI0002568,GARLAND RESORT,MI0002568,reused_existing
MI0002590,SHERMAN TOWNSHIP,MI0002590,reused_existing
MI0002600,"GAYLORD, CITY OF",MI0002600,reused_existing
MI0002615,GENESEE COUNTY WATER SYSTEM,MI0002615,reused_existing
MI0002617,GENESEE TOWNSHIP,MI0002617,reused_existing
MI0002620,GEORGETOWN TOWNSHIP,MI0002620,reused_existing
MI0002625,GERMFASK TOWNSHIP,MI0002625,reused_existing
MI0002630,GIBRALTAR,MI0002630,reused_existing
MI0002640,GLADSTONE,MI0002640,reused_existing
MI0002650,"GLADWIN, CITY OF",MI0002650,reused_existing
MI0002655,GLENN HAVEN SHORES,MI0002655,reused_existing
MI0002656,GLEN MEADOWS CONDOMINIUMS,MI0002656,reused_existing
MI0002657,GLEN OAKS COMMUNITY COLLEGE (DS001),MI0002657-f,assigned_new
MI0002657,GLEN OAKS COMMUNITY COLLEGE (DS002),MI0002657-g,assigned_new
MI0002659,GLENNWOODS SUBDIVISION,MI0002659,reused_existing
MI0002680,GOBLES,MI0002680,reused_existing
MI0002685,GOGEBIC RANGE WATER AUTH,MI0002685,reused_existing
MI0002730,GRAND BEACH,MI0002730,reused_existing
MI0002740,"GRAND BLANC, CITY OF",MI0002740,reused_existing
MI0002745,CHARTER TOWNSHIP OF GRAND BLANC,MI0002745,reused_existing
MI0002750,GRAND HAVEN,MI0002750,reused_existing
MI0002760,GRAND HAVEN TOWNSHIP,MI0002760,reused_existing
MI0002770,"GRAND LEDGE, CITY OF",MI0002770,reused_existing
MI0002780,BURT TOWNSHIP,MI0002780,reused_existing
MI0002785,GRAND POINTE SUBDIVISION,MI0002785,reused_existing
MI0002790,GRAND RAPIDS,MI0002790,reused_existing
MI0002805,GRAND TRAVERSE CONDOMINIUMS,MI0002805,reused_existing
MI0002809,GRAND VALLEY ESTATES,MI0002809,reused_existing
MI0002820,GRANDVILLE,MI0002820,reused_existing
MI0002823,GRANT,MI0002823,reused_existing
MI0002830,GRASS LAKE,MI0002830,reused_existing
MI0002837,GREENFIELD ESTATES,MI0002837,reused_existing
MI0002839,GREAT LAKES ADVENTIST ACADEMY,MI0002839,reused_existing
MI0002840,"GRAYLING, CITY OF",MI0002840,reused_existing
MI0002843,GREEN LAKE TOWNSHIP,MI0002843,reused_existing
MI0002845,GREGG APARTMENTS,MI0002845,reused_existing
MI0002846,GREENFIELD POINTE SUBDIVISION,MI0002846,reused_existing
MI0002847,GREENS LAKE APARTMENTS,MI0002847,reused_existing
MI0002850,GREENVILLE,MI0002850,reused_existing
MI0002860,ELY TOWNSHIP-GREENWOOD,MI0002860,reused_existing
MI0002870,GROSSE ILE TOWNSHIP,MI0002870,reused_existing
MI0002880,"GROSSE POINTE, CITY OF",MI0002880,reused_existing
MI0002890,GROSSE POINTE FARMS,MI0002890,reused_existing
MI0002900,GROSSE POINTE PARK,MI0002900,reused_existing
MI0002910,GROSSE POINTE SHORES,MI0002910,reused_existing
MI0002920,GROSSE POINTE WOODS,MI0002920,reused_existing
MI0002925,LAKE DOSTER,MI0002925,reused_existing
MI0002926,GUN PLAIN TOWNSHIP,MI0002926,reused_existing
MI0002940,STAMBAUGH TWP - HAGERMAN LAKE,MI0002940,reused_existing
MI0002943,HALE HOMESTEAD APARTMENTS,MI0002943,reused_existing
MI0002944,HAMLET VILLAGE CONDOMINIUMS ASSOCIATION,MI0002944,reused_existing
MI0002945,HAMLET WEST PROPERTY OWNERS ASSOC,MI0002945,reused_existing
MI0002960,HAMPTON TOWNSHIP,MI0002960,reused_existing
MI0002970,HAMTRAMCK,MI0002970,reused_existing
MI0002980,HANCOCK,MI0002980,reused_existing
MI0002982,HANDY TOWNSHIP - RED CEDARS CROSSING,MI0002982,reused_existing
MI0003000,"HARBOR BEACH, CITY OF",MI0003000,reused_existing
MI0003001,HARBOR COVE APARTMENTS,MI0003001,reused_existing
MI0003005,HARBOR HILLS SUBDIVISION ASSOCIATION,MI0003005,reused_existing
MI0003010,"HARBOR SPRINGS, CITY OF",MI0003010,reused_existing
MI0003015,HARBOR SPRINGS AREA AUTHORITY,MI0003015,reused_existing
MI0003018,HARING CHARTER TOWNSHIP,MI0003018,reused_existing
MI0003020,HARPER WOODS,MI0003020,reused_existing
